run,branch,epoch,step,group,bucket,count,mean_entropy,mean_margin,mean_ptrue
input,bigram,5,1680,novel,f64-255,0,0.0,0.0,0.0
input,bigram,5,1680,novel,f8-15,0,0.0,0.0,0.0
input,bigram,5,1680,seen,f0,0,0.0,0.0,0.0
input,bigram,5,1680,seen,f1,12905,1.9084476800886445,0.4449822137117132,0.06488181602040517
input,bigram,5,1680,seen,f16-63,74658,1.7744258689461256,0.4682891486997907,0.18962627421586303
input,bigram,5,1680,seen,f2-3,16563,1.7936344488339615,0.4684643120273983,0.10311635055721337
input,bigram,5,1680,seen,f256+,294237,2.5377413312140518,0.34373612461061026,0.1721182126148305
input,bigram,5,1680,seen,f4-7,20656,1.7377391771595625,0.47865018308650353,0.1397271413013994
input,bigram,5,1680,seen,f64-255,119379,2.025631603415228,0.4222692256336889,0.20013244057900387
input,bigram,5,1680,seen,f8-15,26025,1.6876129603202696,0.4873728825960677,0.1668845848287045
input,bigram,6,2020,novel,f0,25401,1.7390816589694145,0.4536579501680617,0.006973318319109103
input,bigram,6,2020,novel,f1,0,0.0,0.0,0.0
input,bigram,6,2020,novel,f16-63,0,0.0,0.0,0.0
input,bigram,6,2020,novel,f2-3,0,0.0,0.0,0.0
input,bigram,6,2020,novel,f256+,0,0.0,0.0,0.0
input,bigram,6,2020,novel,f4-7,0,0.0,0.0,0.0
input,bigram,6,2020,novel,f64-255,0,0.0,0.0,0.0
input,bigram,6,2020,novel,f8-15,0,0.0,0.0,0.0
input,bigram,6,2020,seen,f0,0,0.0,0.0,0.0
input,bigram,6,2020,seen,f1,12905,1.6365616950333823,0.4791035685022872,0.06562844579205304
input,bigram,6,2020,seen,f16-63,74658,1.4786521553728769,0.5083014032193945,0.19731279042170585
input,bigram,6,2020,seen,f2-3,16563,1.5312146455070048,0.5045981160391754,0.107132216322195
input,bigram,6,2020,seen,f256+,294237,2.0921136164999226,0.3992207062724851,0.18484253465263423
input,bigram,6,2020,seen,f4-7,20656,1.4849200032663572,0.5079840516423018,0.143389882200345
input,bigram,6,2020,seen,f64-255,119379,1.6649739480187384,0.4712374501334983,0.21033426342827835
input,bigram,6,2020,seen,f8-15,26025,1.4321978604438927,0.522692961288718,0.17395230203129308
input,bigram,7,2350,novel,f0,25401,1.656974859798693,0.4593834135351261,0.0063791850350825765
input,bigram,7,2350,novel,f1,0,0.0,0.0,0.0
input,bigram,7,2350,novel,f16-63,0,0.0,0.0,0.0
input,bigram,7,2350,novel,f2-3,0,0.0,0.0,0.0
input,bigram,7,2350,novel,f256+,0,0.0,0.0,0.0
input,bigram,7,2350,novel,f4-7,0,0.0,0.0,0.0
input,bigram,7,2350,novel,f64-255,0,0.0,0.0,0.0
input,bigram,7,2350,novel,f8-15,0,0.0,0.0,0.0
input,bigram,7,2350,seen,f0,0,0.0,0.0,0.0
input,bigram,7,2350,seen,f1,12905,1.5590299643457006,0.48659569856987495,0.06454112231218433
input,bigram,7,2350,seen,f16-63,74658,1.3771171981838237,0.5221686620222732,0.19665599785927176
input,bigram,7,2350,seen,f2-3,16563,1.4563205326336706,0.5112165748528281,0.1065109529409674
input,bigram,7,2350,seen,f256+,294237,1.9401141842914023,0.4161189553263076,0.18194158507032815
input,bigram,7,2350,seen,f4-7,20656,1.4182777525786618,0.5176354352522592,0.1418858271892009
input,bigram,7,2350,seen,f64-255,119379,1.5480058887498254,0.486824727891587,0.2092681124295236
input,bigram,7,2350,seen,f8-15,26025,1.3530329192748525,0.5312958498080114,0.17326690831974376
input,bigram,8,2690,novel,f0,25401,1.4592379682999366,0.4832775476272956,0.006937337127611709
input,bigram,8,2690,novel,f1,0,0.0,0.0,0.0
input,bigram,8,2690,novel,f16-63,0,0.0,0.0,0.0
input,bigram,8,2690,novel,f2-3,0,0.0,0.0,0.0
input,bigram,8,2690,novel,f256+,0,0.0,0.0,0.0
input,bigram,8,2690,novel,f4-7,0,0.0,0.0,0.0
input,bigram,8,2690,novel,f64-255,0,0.0,0.0,0.0
input,bigram,8,2690,novel,f8-15,0,0.0,0.0,0.0
