host,run_id,steps,seed,final_gap,final_train_loss,final_val_loss,path,sha256
3602,nglab1x_y_v5_s43_fixed,2000,43,3.2773109674453735,1.9296983480453491,5.207009315490723,/tmp/ngram_gap_remote_summaries_all2/3602/nglab1x_y_v5_s43_fixed/summary.json,9ac91f0a5ad63f32ce42573e6e34ac5912159d0585bcf467057d66c6966f1664
3602,s1v5_128_v_ep_bi_0p3333xL4_3ep_fixed,336,42,0.7475651502609253,3.93414568901062,4.681710839271545,/tmp/ngram_gap_remote_summaries_all2/3602/s1v5_128_v_ep_bi_0p3333xL4_3ep_fixed/summary.json,7d6403118935cd5cc20487a30c5131925e33269481177d5c7535b43f8108d3e3
3602,causalv5m3_freeze_backbone_e1_fixed,2022,42,1.5852665901184082,3.2794368267059326,4.864703416824341,/tmp/ngram_gap_remote_summaries_all2/3602/causalv5m3_freeze_backbone_e1_fixed/summary.json,95a160ad4411f385673b00c074728400b9d7d36a3bbec7de2a5f57527aacb3dc
3602,causalv5m3_hash_reseed_e2_fixed,2022,42,4.201724648475647,1.6413183212280273,5.843042969703674,/tmp/ngram_gap_remote_summaries_all2/3602/causalv5m3_hash_reseed_e2_fixed/summary.json,524ed441afe010c4db4d53a1aba47dbdbd2f74d55b1a39ca8bd1da6bde940cf0
3602,optv5c_rms_b099_s1p0_fixed,1000,42,0.858302116394043,3.264625072479248,4.122927188873291,/tmp/ngram_gap_remote_summaries_all2/3602/optv5c_rms_b099_s1p0_fixed/summary.json,022a516eb6b6dc1edab23aea95881726a8051787b26a49a1362f25ddbac7c1d5
3602,s1v5_128_y_ep_bi_1p75xL4_3ep_fixed,1770,42,2.120509386062622,2.459401845932007,4.579911231994629,/tmp/ngram_gap_remote_summaries_all2/3602/s1v5_128_y_ep_bi_1p75xL4_3ep_fixed/summary.json,f24ba9a4a79a2335feceab400832cfda108064c20d4c483bcbe1dc62f0265a08
3602,optv5_rms_b099_s3p0_curve_fixed,1000,42,1.89546799659729,2.7844650745391846,4.679933071136475,/tmp/ngram_gap_remote_summaries_all2/3602/optv5_rms_b099_s3p0_curve_fixed/summary.json,8d91a48f9ff524d7c1caac1f055bad775ee8f5f61b4465b0700a575bbeec01d3
3602,causalv5m3_wd03_fixed,2022,42,5.609013319015503,1.2835602760314941,6.892573595046997,/tmp/ngram_gap_remote_summaries_all2/3602/causalv5m3_wd03_fixed/summary.json,6e8e5135c21c5b5d24faf10e6a2193726e153aad79518f9239e198cf9af59814
3602,nglab1x_y_v4_fixed,2000,42,5.673980951309204,1.8888108730316162,7.56279182434082,/tmp/ngram_gap_remote_summaries_all2/3602/nglab1x_y_v4_fixed/summary.json,d7db4e384845ed745950be1c717d37e4f45fe01c8f7e153e89e387aea67a6c75
3602,nglab_smoke_v4_fixed,30,42,0.004637241363525391,7.401296138763428,7.405933380126953,/tmp/ngram_gap_remote_summaries_all2/3602/nglab_smoke_v4_fixed/summary.json,278269adcf72cb6af4c9ba9c9b6c703fe3b6cb87f32a95d0f15b2bb0a77c1bcb
3602,netv5_input_reseed_eall_128x_fixed,2000,42,0.04110252857208252,4.114401340484619,4.155503869056702,/tmp/ngram_gap_remote_summaries_all2/3602/netv5_input_reseed_eall_128x_fixed/summary.json,66d7569adfb6d1bce34ca1183715c727fe4e5210c9ff1a88939e275a9365dae7
3602,s1v5_128_tri_masklowf8_e1_fixed,1000,42,0.414526104927063,3.74029278755188,4.154818892478943,/tmp/ngram_gap_remote_summaries_all2/3602/s1v5_128_tri_masklowf8_e1_fixed/summary.json,933504c5b045b619fa6b853dab416be1945e52eb7dfe7eeafd02fe7ccd56a436
3602,s1v5_128_y_ep_bi_0p3333xL4_3ep_fixed,336,42,1.2358521223068237,3.6372711658477783,4.873123288154602,/tmp/ngram_gap_remote_summaries_all2/3602/s1v5_128_y_ep_bi_0p3333xL4_3ep_fixed/summary.json,5148c9eaedfadcab698603659a5f707db71cb999e5e8d3cf34f760f9a0f5798c
3602,nglab8x_input_v5_128x_freq10_fixed,2000,42,-0.054738402366638184,3.686049699783325,3.631311297416687,/tmp/ngram_gap_remote_summaries_all2/3602/nglab8x_input_v5_128x_freq10_fixed/summary.json,1492435f488b3d4ec37d4a40f196e19efa82b16056c339b7b146e28dff6e8986
3602,s1v5_128_y_ep_bi_0p5xL4_3ep_fixed,504,42,1.0782792568206787,3.539264440536499,4.617543697357178,/tmp/ngram_gap_remote_summaries_all2/3602/s1v5_128_y_ep_bi_0p5xL4_3ep_fixed/summary.json,4519e1bc3cc0e03cb0726c67408aaa2d73ca0314d074a94fb8cf255783869b41
3602,nglab1x_reset_e2_v5_fixed,1000,42,0.06678634881973267,3.676490068435669,3.7432764172554016,/tmp/ngram_gap_remote_summaries_all2/3602/nglab1x_reset_e2_v5_fixed/summary.json,6f7095a3b031df9c98e1645765531cb26c57ee20a337fb912b82483f52315350
3602,s1v5_128_v_ep_bi_1p75xL4_3ep_fixed,1770,42,3.83541738986969,1.6806988716125488,5.516116261482239,/tmp/ngram_gap_remote_summaries_all2/3602/s1v5_128_v_ep_bi_1p75xL4_3ep_fixed/summary.json,15df16100976f23d2835a86a56062f49daf8ee6adddce8e269aef31dde83c738
3602,s1v5_128_v_tbl_bi1_R56000_fixed,1000,42,0.20083481073379517,3.3659913539886475,3.5668261647224426,/tmp/ngram_gap_remote_summaries_all2/3602/s1v5_128_v_tbl_bi1_R56000_fixed/summary.json,eb73f496c7e8a9bf3b422fcb6f85134c93c7e9b769505cb6599b8b5e3b866415
3602,s1v5_128_tri_masklowf2_e1_fixed,1000,42,0.8546669483184814,3.7558915615081787,4.61055850982666,/tmp/ngram_gap_remote_summaries_all2/3602/s1v5_128_tri_masklowf2_e1_fixed/summary.json,cf864c94ae1369f5a1cacd7eb1915502b948de19297e88387ed45fe61d6e4345
3602,nglab2_5x_input_v5_freq10_fixed,2000,42,0.8434430360794067,2.7188560962677,3.562299132347107,/tmp/ngram_gap_remote_summaries_all2/3602/nglab2_5x_input_v5_freq10_fixed/summary.json,76f129a9a2698c2a7e324751a74cb6a50095db2a0f807b1f299b62fb9d1a4a02
3602,netv5_v_reseed_eall_128x_fixed,2000,42,0.19607681035995483,3.0209994316101074,3.2170762419700623,/tmp/ngram_gap_remote_summaries_all2/3602/netv5_v_reseed_eall_128x_fixed/summary.json,4476b8a0e448a2ddff16c15f683dc9eebbc2ed1d3255aa377542b9e67773467c
3602,s1v5_128_v_tbl_bi1_R10_fixed,1000,42,0.02054065465927124,3.5570547580718994,3.5775954127311707,/tmp/ngram_gap_remote_summaries_all2/3602/s1v5_128_v_tbl_bi1_R10_fixed/summary.json,3349b15bcaf451d113632ab4c8f2d6311ad4242004cb93c4e978b148cda80380
3602,causalv5m2_mask_high_t400_e1_fixed,1000,42,2.793478012084961,3.0544469356536865,5.8479249477386475,/tmp/ngram_gap_remote_summaries_all2/3602/causalv5m2_mask_high_t400_e1_fixed/summary.json,e8a97fe68fcedd51d4c40eb5c124b41234efe951a21f4170968dcaf3ec460307
3602,optv5g_rms_b099_s2p0_constant_fixed,1000,42,0.5339888334274292,4.032242774963379,4.566231608390808,/tmp/ngram_gap_remote_summaries_all2/3602/optv5g_rms_b099_s2p0_constant_fixed/summary.json,1d2dc5c088de6f5d411a0bacf5caff46fd5c77db17f992cead130da917e8cab8
3602,optv5_rms_b099_s2p0_s44_2000_fixed,2000,44,5.457757294178009,0.9673183560371399,6.425075650215149,/tmp/ngram_gap_remote_summaries_all2/3602/optv5_rms_b099_s2p0_s44_2000_fixed/summary.json,dc288396070270dea61f839bb490e26b485b7090708d57decf855a172efef218
3602,s1v5_128_v_tbl_bi1_R1719000_fixed,1000,42,1.689418077468872,2.6736130714416504,4.3630311489105225,/tmp/ngram_gap_remote_summaries_all2/3602/s1v5_128_v_tbl_bi1_R1719000_fixed/summary.json,a9a2819415315ddf316fc57eb6e41cce25593efdac54cf305e3314e750554ee9
3602,optv5f_rms_b0999_s64p0_2k_fixed,2000,42,5.425055265426636,1.329453945159912,6.754509210586548,/tmp/ngram_gap_remote_summaries_all2/3602/optv5f_rms_b0999_s64p0_2k_fixed/summary.json,ed2a536a747b5e325ae108714fc9d5b68167fe7ad0d302cf423e4c0a34e54fe2
3602,optv5f_rms_b099_s128p0_2k_fixed,2000,42,5.724029898643494,1.2291594743728638,6.953189373016357,/tmp/ngram_gap_remote_summaries_all2/3602/optv5f_rms_b099_s128p0_2k_fixed/summary.json,9c148529ac2d0a27ec72d58ce76344f563d78209080c6601157f3de7f63c7e45
3602,causalv5m2_mask_high_t12800_e1_fixed,1000,42,2.7223243713378906,2.568190813064575,5.290515184402466,/tmp/ngram_gap_remote_summaries_all2/3602/causalv5m2_mask_high_t12800_e1_fixed/summary.json,cbf36cc9d284f2b2e67b03705df75959a648972ee566efc76821e18b38523a2e
3602,causalv5m3_freeze_table_e2_fixed,2022,42,5.386038541793823,1.1800020933151245,6.566040635108948,/tmp/ngram_gap_remote_summaries_all2/3602/causalv5m3_freeze_table_e2_fixed/summary.json,6248b311a2a03b05e0eb10a83496a9f72136c457c132a534f414413d559baf63
3602,causalv5m2_mask_high_t10_e1_fixed,1000,42,2.290636420249939,4.265463352203369,6.556099772453308,/tmp/ngram_gap_remote_summaries_all2/3602/causalv5m2_mask_high_t10_e1_fixed/summary.json,ce6584a0f0e4034478b16b64ee3591ad49e693868fe3c3e6974c1220089bdcef
3602,nglab6x_input_v5_128x_freq10_fixed,2000,42,-0.0870022177696228,3.70125150680542,3.614249289035797,/tmp/ngram_gap_remote_summaries_all2/3602/nglab6x_input_v5_128x_freq10_fixed/summary.json,cc488e834e9c2cc963d8845cd8a700063340973db40a6b8529fb811bb514657b
3602,optv5_rms_b0995_s2p0_fixed,1000,42,1.6072593927383423,2.8871688842773438,4.494428277015686,/tmp/ngram_gap_remote_summaries_all2/3602/optv5_rms_b0995_s2p0_fixed/summary.json,79898178ca663b06e54e5d17351a3b387242d0ba4951637f219e09cde4e862ff
3602,optv5c_rms_b099_s3p0_fixed,1000,42,1.88608717918396,2.7592947483062744,4.645381927490234,/tmp/ngram_gap_remote_summaries_all2/3602/optv5c_rms_b099_s3p0_fixed/summary.json,57cc18394dbe7307caf4dbcb22ddaa3f5675f634ac27d7dd2d16c90aa8282615
3602,mlv5_y_L17_fd_fixed,2000,42,5.167741656303406,1.2581783533096313,6.425920009613037,/tmp/ngram_gap_remote_summaries_all2/3602/mlv5_y_L17_fd_fixed/summary.json,3ef928082abe25e3cbdabe9a6dced33b1105b882b375211747b97f2a6e014bef
3602,s1v5_128_y_ep_bi_0p75xL4_3ep_fixed,759,42,0.937485933303833,3.3426835536956787,4.280169486999512,/tmp/ngram_gap_remote_summaries_all2/3602/s1v5_128_y_ep_bi_0p75xL4_3ep_fixed/summary.json,e66660abb426e336eb64f4e578015f7282e8a27fbf7a510ebc4c4de4518bf13f
3602,optv5_rms_b099_s2p0_s43_2000_fixed,2000,43,5.681239902973175,0.8782705664634705,6.5595104694366455,/tmp/ngram_gap_remote_summaries_all2/3602/optv5_rms_b099_s2p0_s43_2000_fixed/summary.json,3d59ca46cb5606e578168b592645550d54f924c4d50d008c4255215938029b9c
