multiplier,actual_multiplier,epoch_batches,epoch,step,seed,status,train_loss,val_loss,gap,run_id,host,source,source_sha256
0.6667,0.6646884272997032,224,1,224,42,observed,6.41707706451416,6.406816601753235,-0.010260462760925293,s1v5_128_ep20_tri_0p6667xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_0p6667xL4_3ep_v2_fixed/train_log.jsonl,593769b9f881cf8587db6314caeb8b84ca9d8e8e82c6eee814e034481f8a5376
0.6667,0.6646884272997032,224,2,448,42,observed,5.306262016296387,6.509634256362915,1.2033722400665283,s1v5_128_ep20_tri_0p6667xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_0p6667xL4_3ep_v2_fixed/train_log.jsonl,593769b9f881cf8587db6314caeb8b84ca9d8e8e82c6eee814e034481f8a5376
0.6667,0.6646884272997032,224,3,672,42,observed,4.23069429397583,7.04200804233551,2.81131374835968,s1v5_128_ep20_tri_0p6667xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_0p6667xL4_3ep_v2_fixed/train_log.jsonl,593769b9f881cf8587db6314caeb8b84ca9d8e8e82c6eee814e034481f8a5376
0.75,0.7507418397626113,253,1,253,42,observed,6.3927106857299805,6.3406490087509155,-0.05206167697906494,s1v5_128_ep20_tri_0p75xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_0p75xL4_3ep_v2_fixed/train_log.jsonl,e350532a73dd0af4f8a69896a2a7a2da944c83a8a4dab47bf2e85b8cdbe94068
0.75,0.7507418397626113,253,2,506,42,observed,5.237800598144531,6.445517897605896,1.2077172994613647,s1v5_128_ep20_tri_0p75xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_0p75xL4_3ep_v2_fixed/train_log.jsonl,e350532a73dd0af4f8a69896a2a7a2da944c83a8a4dab47bf2e85b8cdbe94068
0.75,0.7507418397626113,253,3,759,42,observed,4.178362846374512,6.93158757686615,2.753224730491638,s1v5_128_ep20_tri_0p75xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_0p75xL4_3ep_v2_fixed/train_log.jsonl,e350532a73dd0af4f8a69896a2a7a2da944c83a8a4dab47bf2e85b8cdbe94068
1.0,1.0,337,1,337,42,observed,6.140771389007568,6.180252313613892,0.03948092460632324,s1v5_128_ep20_tri_1p0xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_1p0xL4_3ep_v2_fixed/train_log.jsonl,8f5137a36f82d787165828a10cdad35970019f88fb9511dbe1c10a0aabbd9d6e
1.0,1.0,337,2,674,42,observed,5.152569770812988,6.233742356300354,1.0811725854873657,s1v5_128_ep20_tri_1p0xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_1p0xL4_3ep_v2_fixed/train_log.jsonl,8f5137a36f82d787165828a10cdad35970019f88fb9511dbe1c10a0aabbd9d6e
1.0,1.0,337,3,1011,42,observed,4.189825534820557,6.694823980331421,2.5049984455108643,s1v5_128_ep20_tri_1p0xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_1p0xL4_3ep_v2_fixed/train_log.jsonl,8f5137a36f82d787165828a10cdad35970019f88fb9511dbe1c10a0aabbd9d6e
1.25,1.2492581602373887,421,1,421,42,observed,6.055895805358887,6.0767502784729,0.020854473114013672,s1v5_128_ep20_tri_1p25xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_1p25xL4_3ep_v2_fixed/train_log.jsonl,092ac5827298b2cdd0d21f73ce8c40e56ea8399d2bbccee8deed4e51e2cbfef2
1.25,1.2492581602373887,421,2,842,42,observed,5.036664962768555,6.0920798778533936,1.0554149150848389,s1v5_128_ep20_tri_1p25xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_1p25xL4_3ep_v2_fixed/train_log.jsonl,092ac5827298b2cdd0d21f73ce8c40e56ea8399d2bbccee8deed4e51e2cbfef2
1.25,1.2492581602373887,421,3,1263,42,observed,4.13567590713501,6.530545234680176,2.394869327545166,s1v5_128_ep20_tri_1p25xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_1p25xL4_3ep_v2_fixed/train_log.jsonl,092ac5827298b2cdd0d21f73ce8c40e56ea8399d2bbccee8deed4e51e2cbfef2
1.5,1.5014836795252227,506,1,506,42,observed,5.964852333068848,5.980498671531677,0.01564633846282959,s1v5_128_ep20_tri_1p5xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_1p5xL4_3ep_v2_fixed/train_log.jsonl,882286621a0ca79099e413047edf3343870f8b59f6a436b3266667f4240f5a17
1.5,1.5014836795252227,506,2,1012,42,observed,4.962284564971924,5.93397068977356,0.9716861248016357,s1v5_128_ep20_tri_1p5xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_1p5xL4_3ep_v2_fixed/train_log.jsonl,882286621a0ca79099e413047edf3343870f8b59f6a436b3266667f4240f5a17
1.5,1.5014836795252227,506,3,1518,42,observed,4.118436813354492,6.335917592048645,2.217480778694153,s1v5_128_ep20_tri_1p5xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_1p5xL4_3ep_v2_fixed/train_log.jsonl,882286621a0ca79099e413047edf3343870f8b59f6a436b3266667f4240f5a17
1.75,1.7507418397626113,590,1,590,42,observed,5.8957061767578125,5.898346662521362,0.0026404857635498047,s1v5_128_ep20_tri_1p75xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_1p75xL4_3ep_v2_fixed/train_log.jsonl,00bfade78aada57590dcc7701787c3f0edc954e43656d78e3ab79265337b6383
1.75,1.7507418397626113,590,2,1180,42,observed,4.934942722320557,5.8497196435928345,0.9147769212722778,s1v5_128_ep20_tri_1p75xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_1p75xL4_3ep_v2_fixed/train_log.jsonl,00bfade78aada57590dcc7701787c3f0edc954e43656d78e3ab79265337b6383
1.75,1.7507418397626113,590,3,1770,42,observed,4.145453453063965,6.210747957229614,2.0652945041656494,s1v5_128_ep20_tri_1p75xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_1p75xL4_3ep_v2_fixed/train_log.jsonl,00bfade78aada57590dcc7701787c3f0edc954e43656d78e3ab79265337b6383
2.0,2.0,674,1,674,42,observed,5.816272258758545,5.81703245639801,0.000760197639465332,s1v5_128_ep20_tri_2p0xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_2p0xL4_3ep_v2_fixed/train_log.jsonl,d17805843b948a52e59b2f13022b738cbc7fd8c0d3bc335ca6b417612b427943
2.0,2.0,674,2,1348,42,observed,4.880030155181885,5.743122339248657,0.8630921840667725,s1v5_128_ep20_tri_2p0xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_2p0xL4_3ep_v2_fixed/train_log.jsonl,d17805843b948a52e59b2f13022b738cbc7fd8c0d3bc335ca6b417612b427943
2.0,2.0,674,3,2022,42,observed,4.138232231140137,6.12248694896698,1.9842547178268433,s1v5_128_ep20_tri_2p0xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_2p0xL4_3ep_v2_fixed/train_log.jsonl,d17805843b948a52e59b2f13022b738cbc7fd8c0d3bc335ca6b417612b427943
2.5,2.4985163204747773,842,1,842,42,observed,5.676766395568848,5.693302750587463,0.016536355018615723,s1v5_128_ep20_tri_2p5xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_2p5xL4_3ep_v2_fixed/train_log.jsonl,5367d05e9f92ddf3983696b74861cfbded7288f7c4ca5b288fe34f7c8645008d
2.5,2.4985163204747773,842,2,1684,42,observed,4.822147846221924,5.598711013793945,0.7765631675720215,s1v5_128_ep20_tri_2p5xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_2p5xL4_3ep_v2_fixed/train_log.jsonl,5367d05e9f92ddf3983696b74861cfbded7288f7c4ca5b288fe34f7c8645008d
2.5,2.4985163204747773,842,3,2526,42,observed,4.16139030456543,5.8914642333984375,1.7300739288330078,s1v5_128_ep20_tri_2p5xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_2p5xL4_3ep_v2_fixed/train_log.jsonl,5367d05e9f92ddf3983696b74861cfbded7288f7c4ca5b288fe34f7c8645008d
3.0,3.0,1011,1,1011,42,observed,5.5706095695495605,5.580431818962097,0.009822249412536621,s1v5_128_ep20_tri_3p0xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_3p0xL4_3ep_v2_fixed/train_log.jsonl,2609ad0195e8bbd14bef2e7d43b89234f56042d3639232b8a5acaafe052d2df3
3.0,3.0,1011,2,2022,42,observed,4.771583557128906,5.461489319801331,0.6899057626724243,s1v5_128_ep20_tri_3p0xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_3p0xL4_3ep_v2_fixed/train_log.jsonl,2609ad0195e8bbd14bef2e7d43b89234f56042d3639232b8a5acaafe052d2df3
3.0,3.0,1011,3,3033,42,observed,4.194293022155762,5.725533723831177,1.531240701675415,s1v5_128_ep20_tri_3p0xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_3p0xL4_3ep_v2_fixed/train_log.jsonl,2609ad0195e8bbd14bef2e7d43b89234f56042d3639232b8a5acaafe052d2df3
4.0,4.0,1348,1,1348,42,observed,5.407290935516357,5.400487899780273,-0.006803035736083984,s1v5_128_ep20_tri_4p0xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_4p0xL4_3ep_v2_fixed/train_log.jsonl,67dd10968066208606dc8d4643e173de1347704d638eafdaf4724493bf9c1463
